skaterFullName,playerId,height,weight,birthDate,birthCity,birthStateProvinceCode,birthCountryCode,draftYear,draftRound,draftOverall,isInHallOfFameYn,currentTeamAbbrev,currentTeamName,shootsCatches,positionCode,gamesPlayed,goals,assists,points,nationalityCode,lastName,firstSeasonForGameType
Anton Lundell,8482113,73,196,2001-10-03,Espoo,,FIN,2020.0,1.0,12.0,N,FLA,Florida Panthers,L,C,64,18,26,44,FIN,Lundell,20212022
Scott Mayfield,8476429,76,215,1992-10-14,St. Louis,MO,USA,2011.0,2.0,34.0,N,NYI,New York Islanders,R,D,77,2,12,14,USA,Mayfield,20132014
Brett Pesce,8477488,75,206,1994-11-15,Tarrytown,NY,USA,2013.0,3.0,66.0,N,NJD,New Jersey Devils,R,D,37,1,6,7,USA,Pesce,20152016
Erik Karlsson,8474578,72,185,1990-05-31,Landsbro,,SWE,2008.0,1.0,15.0,N,PIT,Pittsburgh Penguins,R,D,74,15,51,66,SWE,Karlsson,20092010
Tanner Laczynski,8479550,73,211,1997-06-01,Minooka,IL,USA,2016.0,6.0,169.0,N,VGK,Vegas Golden Knights,R,C,10,0,5,5,USA,Laczynski,20202021
Zakhar Bardakov,8482947,74,198,2001-02-24,Berdsk,,RUS,2021.0,7.0,203.0,N,COL,Colorado Avalanche,L,C,57,1,9,10,RUS,Bardakov,20252026
Brandon Duhaime,8479520,74,210,1997-05-22,Coral Springs,FL,USA,2016.0,4.0,106.0,N,WSH,Washington Capitals,L,L,79,4,5,9,USA,Duhaime,20212022
Declan Chisholm,8480990,73,205,2000-01-12,Bowmanville,ON,CAN,2018.0,5.0,150.0,N,WSH,Washington Capitals,L,D,26,1,6,7,CAN,Chisholm,20212022
Konsta Helenius,8484797,71,190,2006-05-11,Ylojarvi,,FIN,2024.0,1.0,14.0,N,BUF,Buffalo Sabres,R,C,9,1,3,4,FIN,Helenius,20252026
John Hayden,8477401,75,223,1995-02-14,Chicago,IL,USA,2013.0,3.0,74.0,N,SEA,Seattle Kraken,R,C,3,0,0,0,USA,Hayden,20162017
Taylor Hall,8475791,73,210,1991-11-14,Calgary,AB,CAN,2010.0,1.0,1.0,N,CAR,Carolina Hurricanes,L,L,79,18,30,48,CAN,Hall,20102011
Zayne Parekh,8484768,72,179,2006-02-15,Markham,ON,CAN,2024.0,1.0,9.0,N,CGY,Calgary Flames,R,D,33,3,4,7,CAN,Parekh,20242025
Adam Pelech,8476917,75,212,1994-08-16,Toronto,ON,CAN,2012.0,3.0,65.0,N,NYI,New York Islanders,L,D,79,4,12,16,CAN,Pelech,20152016
Noah Hanifin,8478396,75,206,1997-01-25,Boston,MA,USA,2015.0,1.0,5.0,N,VGK,Vegas Golden Knights,L,D,68,3,23,26,USA,Hanifin,20152016
Gustav Nyquist,8474679,71,180,1989-09-01,Halmstad,,SWE,2008.0,4.0,121.0,N,WPG,Winnipeg Jets,L,R,51,1,11,12,SWE,Nyquist,20112012
Jordan Staal,8473533,76,220,1988-09-10,Thunder Bay,ON,CAN,2006.0,1.0,2.0,N,CAR,Carolina Hurricanes,L,C,74,19,15,34,CAN,Staal,20062007
Max Crozier,8481719,75,204,2000-04-19,Calgary,AB,CAN,2019.0,4.0,120.0,N,TBL,Tampa Bay Lightning,R,D,34,1,9,10,CAN,Crozier,20232024
Noah Gregor,8479393,72,201,1998-07-28,Beaumont,AB,CAN,2016.0,4.0,111.0,N,FLA,Florida Panthers,L,L,34,4,3,7,CAN,Gregor,20192020
Alexander Petrovic,8475755,77,215,1992-03-03,Edmonton,AB,CAN,2010.0,2.0,36.0,N,DAL,Dallas Stars,R,D,52,2,7,9,CAN,Petrovic,20122013
Ivan Provorov,8478500,73,224,1997-01-13,Yaroslavl,,RUS,2015.0,1.0,7.0,N,CBJ,Columbus Blue Jackets,L,D,79,9,21,30,RUS,Provorov,20162017
Nicolas Roy,8478462,76,200,1997-02-05,Amos,QC,CAN,2015.0,4.0,96.0,N,COL,Colorado Avalanche,R,C,70,8,15,23,CAN,Roy,20172018
Maksim Tsyplakov,8484958,75,203,1998-09-19,Moscow,,RUS,,,,N,NJD,New Jersey Devils,L,R,48,2,2,4,RUS,Tsyplakov,20242025
Jason Dickinson,8477450,74,200,1995-07-04,Georgetown,ON,CAN,2013.0,1.0,29.0,N,EDM,Edmonton Oilers,L,C,64,7,10,17,CAN,Dickinson,20152016
Arthur Kaliyev,8481560,74,212,2001-06-26,Tashkent,,UZB,2019.0,2.0,33.0,N,OTT,Ottawa Senators,L,R,2,0,1,1,USA,Kaliyev,20202021
David Jiricek,8483460,76,204,2003-11-28,Klatovy,,CZE,2022.0,1.0,6.0,N,PHI,Philadelphia Flyers,R,D,25,0,0,0,CZE,Jiricek,20222023
JJ Peterka,8482175,72,189,2002-01-14,Munich,,DEU,2020.0,2.0,34.0,N,UTA,Utah Mammoth,L,R,78,24,21,45,DEU,Peterka,20212022
Matthew Kessel,8482516,75,212,2000-06-23,Bloomfield Hills,MI,USA,2020.0,5.0,150.0,N,STL,St. Louis Blues,R,D,28,2,1,3,USA,Kessel,20222023
Samuel Helenius,8482726,78,225,2002-11-26,Dallas,TX,USA,2021.0,2.0,59.0,N,LAK,Los Angeles Kings,L,C,49,5,4,9,FIN,Helenius,20242025
Jonah Gadjovich,8479981,75,211,1998-10-12,Whitby,ON,CAN,2017.0,2.0,55.0,N,FLA,Florida Panthers,L,L,10,0,3,3,CAN,Gadjovich,20202021
Jaden Schwartz,8475768,70,185,1992-06-25,Wilcox,SK,CAN,2010.0,1.0,14.0,N,SEA,Seattle Kraken,L,L,48,11,13,24,CAN,Schwartz,20112012
Mason Appleton,8478891,74,196,1996-01-15,Green Bay,WI,USA,2015.0,6.0,168.0,N,DET,Detroit Red Wings,R,C,65,6,8,14,USA,Appleton,20182019
Jacob Moverare,8479421,75,205,1998-08-31,Ostersund,,SWE,2016.0,4.0,112.0,N,LAK,Los Angeles Kings,L,D,15,0,0,0,SWE,Moverare,20212022
Ryan Poehling,8480068,74,206,1999-01-03,Lakeville,MN,USA,2017.0,1.0,25.0,N,ANA,Anaheim Ducks,L,C,72,11,23,34,USA,Poehling,20182019
Jason Robertson,8480027,75,204,1999-07-22,Arcadia,CA,USA,2017.0,2.0,39.0,N,DAL,Dallas Stars,L,L,79,42,50,92,USA,Robertson,20192020
Cale Fleury,8479985,73,204,1998-11-19,Carlyle,SK,CAN,2017.0,3.0,87.0,N,SEA,Seattle Kraken,R,D,22,1,2,3,CAN,Fleury,20192020
Artem Zub,8482245,75,201,1995-10-03,Khabarovsk,,RUS,,,,N,OTT,Ottawa Senators,R,D,78,5,24,29,RUS,Zub,20202021
Jeff Petry,8473507,75,208,1987-12-09,Ann Arbor,MI,USA,2006.0,2.0,45.0,N,MIN,Minnesota Wild,R,D,64,0,9,9,USA,Petry,20102011
Elias Salomonsson,8483510,72,172,2004-08-31,Skelleftea,,SWE,2022.0,2.0,55.0,N,WPG,Winnipeg Jets,R,D,32,1,4,5,SWE,Salomonsson,20252026
Max Shabanov,8485702,69,167,2000-10-07,Chelyabinsk,,RUS,,,,N,NYI,New York Islanders,L,R,44,5,13,18,RUS,Shabanov,20252026
Nick Paul,8477426,76,234,1995-03-20,Mississauga,ON,CAN,2013.0,4.0,101.0,N,TBL,Tampa Bay Lightning,L,L,48,7,8,15,CAN,Paul,20152016
Philipp Kurashev,8480798,72,190,1999-10-12,Munsingen,,CHE,2018.0,4.0,120.0,N,SJS,San Jose Sharks,L,C,42,7,13,20,CHE,Kurashev,20202021
Brenden Dillon,8475455,76,225,1990-11-13,New Westminster,BC,CAN,,,,N,NJD,New Jersey Devils,L,D,79,3,12,15,CAN,Dillon,20112012
Nico Sturm,8481477,75,209,1995-05-03,Augsburg,,DEU,,,,N,MIN,Minnesota Wild,L,C,46,5,6,11,DEU,Sturm,20182019
Darnell Nurse,8477498,76,215,1995-02-04,Hamilton,ON,CAN,2013.0,1.0,7.0,N,EDM,Edmonton Oilers,L,D,79,7,16,23,CAN,Nurse,20142015
Hampus Lindholm,8476854,76,217,1994-01-20,Helsingborg,,SWE,2012.0,1.0,6.0,N,BOS,Boston Bruins,L,D,65,5,20,25,SWE,Lindholm,20132014
Patrick Kane,8474141,70,176,1988-11-19,Buffalo,NY,USA,2007.0,1.0,1.0,N,DET,Detroit Red Wings,L,R,64,16,40,56,USA,Kane,20072008
Dylan Holloway,8482077,73,207,2001-09-23,Calgary,AB,CAN,2020.0,1.0,14.0,N,STL,St. Louis Blues,L,L,55,20,25,45,CAN,Holloway,20222023
Bo Groulx,8480870,74,202,2000-02-06,Rouen,,FRA,2018.0,2.0,54.0,N,TOR,Toronto Maple Leafs,L,C,13,3,2,5,CAN,Groulx,20212022
Sean Walker,8480336,71,191,1994-11-13,Keswick,ON,CAN,,,,N,CAR,Carolina Hurricanes,R,D,79,8,21,29,CAN,Walker,20182019
Elias Pettersson,8480012,74,176,1998-11-12,Sundsvall,,SWE,2017.0,1.0,5.0,N,VAN,Vancouver Canucks,L,C,70,15,33,48,SWE,Pettersson,20182019
Victor Mancini,8483768,75,229,2002-05-26,Hancock,MI,USA,2022.0,5.0,159.0,N,VAN,Vancouver Canucks,R,D,23,0,2,2,USA,Mancini,20242025
Shane Lachance,8482941,76,195,2003-08-30,Andover,MA,USA,2021.0,6.0,186.0,N,NJD,New Jersey Devils,L,L,1,0,0,0,USA,Lachance,20252026
Travis Sanheim,8477948,76,222,1996-03-29,Elkhorn,MB,CAN,2014.0,1.0,17.0,N,PHI,Philadelphia Flyers,L,D,79,10,26,36,CAN,Sanheim,20172018
Jett Luchanko,8484779,71,180,2006-08-21,London,ON,CAN,2024.0,1.0,13.0,N,PHI,Philadelphia Flyers,R,C,4,0,0,0,CAN,Luchanko,20242025
Sam Lafferty,8478043,74,205,1995-03-06,Hollidaysburg,PA,USA,2014.0,4.0,113.0,N,CHI,Chicago Blackhawks,R,C,27,1,1,2,USA,Lafferty,20192020
Michael Eyssimont,8479591,72,195,1996-09-09,Littleton,CO,USA,2016.0,5.0,142.0,N,BOS,Boston Bruins,L,C,53,8,10,18,USA,Eyssimont,20212022
Matthew Schaefer,8485366,74,186,2007-09-05,Hamilton,ON,CAN,2025.0,1.0,1.0,N,NYI,New York Islanders,L,D,79,23,36,59,CAN,Schaefer,20252026
John Beecher,8481556,75,220,2001-04-05,Elmira,NY,USA,2019.0,1.0,30.0,N,CGY,Calgary Flames,L,C,35,3,4,7,USA,Beecher,20232024
Matthew Benning,8476988,73,220,1994-05-25,Edmonton,AB,CAN,2012.0,6.0,175.0,N,TOR,Toronto Maple Leafs,R,D,1,0,0,0,CAN,Benning,20162017
Domenick Fensore,8481562,69,175,2001-09-07,Thornwood,NY,USA,2019.0,3.0,90.0,N,CAR,Carolina Hurricanes,L,D,1,0,0,0,USA,Fensore,20242025
Oskar Bäck,8480840,76,207,2000-03-12,Karlstad,,SWE,2018.0,3.0,75.0,N,DAL,Dallas Stars,L,C,69,5,7,12,SWE,Bäck,20242025
Roope Hintz,8478449,75,217,1996-11-17,Nokia,,FIN,2015.0,2.0,49.0,N,DAL,Dallas Stars,L,C,53,15,29,44,FIN,Hintz,20182019
Sam Bennett,8477935,73,193,1996-06-20,Holland Landing,ON,CAN,2014.0,1.0,4.0,N,FLA,Florida Panthers,L,C,76,26,32,58,CAN,Bennett,20142015
Xavier Bourgault,8482673,71,185,2002-10-22,L'Islet,QC,CAN,2021.0,1.0,22.0,N,OTT,Ottawa Senators,R,R,2,0,0,0,CAN,Bourgault,20252026
Mackenzie MacEachern,8476907,74,193,1994-03-09,Bloomfield Hills,MI,USA,2012.0,3.0,67.0,N,VAN,Vancouver Canucks,L,L,8,1,3,4,USA,MacEachern,20182019
Ryan Hartman,8477451,72,197,1994-09-20,Hilton Head Island,SC,USA,2013.0,1.0,30.0,N,MIN,Minnesota Wild,R,R,75,23,20,43,USA,Hartman,20142015
Nick Blankenburg,8483565,69,177,1998-05-12,Washington,MI,USA,,,,N,COL,Colorado Avalanche,R,D,57,6,16,22,USA,Blankenburg,20212022
Cutter Gauthier,8483445,74,205,2004-01-19,Skelleftea,,SWE,2022.0,1.0,5.0,N,ANA,Anaheim Ducks,L,L,73,38,27,65,USA,Gauthier,20232024
Cole Caufield,8481540,68,175,2001-01-02,Mosinee,WI,USA,2019.0,1.0,15.0,N,MTL,Montréal Canadiens,R,R,78,50,37,87,USA,Caufield,20202021
Ryan Leonard,8484186,73,205,2005-01-21,Northampton,MA,USA,2023.0,1.0,8.0,N,WSH,Washington Capitals,R,R,72,18,24,42,USA,Leonard,20242025
Victor Soderstrom,8481599,72,189,2001-02-26,Gavle,,SWE,2019.0,1.0,11.0,N,BOS,Boston Bruins,R,D,8,0,1,1,SWE,Soderstrom,20202021
Jamie Benn,8473994,75,210,1989-07-18,Victoria,BC,CAN,2007.0,5.0,129.0,N,DAL,Dallas Stars,L,L,57,15,20,35,CAN,Benn,20092010
Carson Lambos,8482781,73,197,2003-01-14,Winnipeg,MB,CAN,2021.0,1.0,26.0,N,MIN,Minnesota Wild,L,D,1,0,0,0,CAN,Lambos,20252026
Dylan Duke,8482663,70,184,2003-03-04,Strongsville,OH,USA,2021.0,4.0,126.0,N,TBL,Tampa Bay Lightning,L,L,1,0,0,0,USA,Duke,20242025
Ryan Ufko,8482715,72,174,2003-05-07,Smithtown,NY,USA,2021.0,4.0,115.0,N,NSH,Nashville Predators,R,D,15,2,5,7,USA,Ufko,20242025
Lucas Raymond,8482078,71,186,2002-03-28,Gothenburg,,SWE,2020.0,1.0,4.0,N,DET,Detroit Red Wings,R,L,77,25,50,75,SWE,Raymond,20212022
Logan Cooley,8483431,72,191,2004-05-04,Pittsburgh,PA,USA,2022.0,1.0,3.0,N,UTA,Utah Mammoth,L,C,50,23,18,41,USA,Cooley,20232024
Miles Wood,8477425,74,209,1995-09-13,Buffalo,NY,USA,2013.0,4.0,100.0,N,CBJ,Columbus Blue Jackets,L,L,51,8,6,14,USA,Wood,20152016
Drake Batherson,8480208,75,209,1998-04-27,Fort Wayne,IN,USA,2017.0,4.0,121.0,N,OTT,Ottawa Senators,R,R,76,32,37,69,CAN,Batherson,20182019
Barclay Goodrow,8476624,74,210,1993-02-26,Toronto,ON,CAN,,,,N,SJS,San Jose Sharks,L,C,78,5,7,12,CAN,Goodrow,20142015
Joona Koppanen,8479533,77,216,1998-02-25,Tampere,,FIN,2016.0,5.0,135.0,N,PIT,Pittsburgh Penguins,L,L,10,0,1,1,FIN,Koppanen,20222023
Ryan Strome,8476458,73,192,1993-07-11,Mississauga,ON,CAN,2011.0,1.0,5.0,N,CGY,Calgary Flames,R,C,49,8,12,20,CAN,Strome,20132014
Ethen Frank,8483573,71,188,1998-02-05,Aurora,CO,USA,,,,N,WSH,Washington Capitals,R,R,62,12,12,24,USA,Frank,20242025
Ethan Cardwell,8482206,71,180,2002-08-30,Oshawa,ON,CAN,2021.0,4.0,121.0,N,SJS,San Jose Sharks,R,R,7,1,0,1,CAN,Cardwell,20242025
William Karlsson,8476448,72,190,1993-01-08,Marsta,,SWE,2011.0,2.0,53.0,N,VGK,Vegas Golden Knights,L,C,14,4,3,7,SWE,Karlsson,20142015
Damon Severson,8476923,74,204,1994-08-07,Melville,SK,CAN,2012.0,2.0,60.0,N,CBJ,Columbus Blue Jackets,R,D,71,8,24,32,CAN,Severson,20142015
Joseph LaBate,8476425,77,225,1993-04-16,Burnsville,MN,USA,2011.0,4.0,101.0,N,VAN,Vancouver Canucks,L,C,1,0,0,0,USA,LaBate,20162017
Alexander Kerfoot,8477021,71,185,1994-08-11,Vancouver,BC,CAN,2012.0,5.0,150.0,N,UTA,Utah Mammoth,L,C,30,6,6,12,CAN,Kerfoot,20172018
Kevin Hayes,8475763,75,217,1992-05-08,Dorchester,MA,USA,2010.0,1.0,24.0,N,PIT,Pittsburgh Penguins,L,R,25,3,2,5,USA,Hayes,20142015
Pavel Dorofeyev,8481604,73,194,2000-10-26,Nizhny Tagil,,RUS,2019.0,3.0,79.0,N,VGK,Vegas Golden Knights,L,R,79,35,27,62,RUS,Dorofeyev,20212022
Josh Morrissey,8477504,72,195,1995-03-28,Calgary,AB,CAN,2013.0,1.0,13.0,N,WPG,Winnipeg Jets,L,D,73,14,41,55,CAN,Morrissey,20152016
Adam Wilsby,8482482,73,188,2000-08-07,Stockholm,,SWE,2020.0,4.0,101.0,N,NSH,Nashville Predators,L,D,55,1,15,16,SWE,Wilsby,20242025
Ville Heinola,8481572,72,181,2001-03-02,Honkajoki,,FIN,2019.0,1.0,20.0,N,WPG,Winnipeg Jets,L,D,3,0,0,0,FIN,Heinola,20192020
Radek Faksa,8476889,75,216,1994-01-09,Vitkov,,CZE,2012.0,1.0,13.0,N,DAL,Dallas Stars,L,C,56,2,15,17,CZE,Faksa,20152016
Tye Kartye,8481789,71,202,2001-04-30,Kingston,ON,CAN,,,,N,NYR,New York Rangers,L,L,61,6,13,19,CAN,Kartye,20232024
Vladislav Namestnikov,8476480,72,181,1992-11-22,Zhukovskiy,,RUS,2011.0,1.0,27.0,N,WPG,Winnipeg Jets,L,C,59,8,6,14,RUS,Namestnikov,20132014
Ryan Donato,8477987,72,190,1996-04-09,Boston,MA,USA,2014.0,2.0,56.0,N,CHI,Chicago Blackhawks,L,C,79,15,14,29,USA,Donato,20172018
Carter Mazur,8482802,72,200,2002-03-28,Jackson,MI,USA,2021.0,3.0,70.0,N,DET,Detroit Red Wings,R,L,5,0,0,0,USA,Mazur,20242025
Vince Dunn,8478407,72,200,1996-10-29,Mississauga,ON,CAN,2015.0,2.0,56.0,N,SEA,Seattle Kraken,L,D,77,11,32,43,CAN,Dunn,20172018
Aleksanteri Kaskimaki,8483463,72,195,2004-02-06,Espoo,,FIN,2022.0,3.0,73.0,N,STL,St. Louis Blues,L,C,5,0,0,0,FIN,Kaskimaki,20252026
Roby Jarventie,8482162,74,184,2002-08-08,Tampere,,FIN,2020.0,2.0,33.0,N,EDM,Edmonton Oilers,L,L,3,0,0,0,FIN,Jarventie,20232024
Anthony Cirelli,8478519,73,193,1997-07-15,Etobicoke,ON,CAN,2015.0,3.0,72.0,N,TBL,Tampa Bay Lightning,L,C,69,23,29,52,CAN,Cirelli,20172018
Jesper Bratt,8479407,70,175,1998-07-30,Stockholm,,SWE,2016.0,6.0,162.0,N,NJD,New Jersey Devils,L,L,79,20,48,68,SWE,Bratt,20172018
Jordan Harris,8480887,72,189,2000-07-07,Haverhill,MA,USA,2018.0,3.0,71.0,N,BOS,Boston Bruins,L,D,7,1,1,2,USA,Harris,20212022
Jimmy Snuggerud,8483516,73,193,2004-06-01,Minneapolis,MN,USA,2022.0,1.0,23.0,N,STL,St. Louis Blues,R,R,66,17,26,43,USA,Snuggerud,20242025
Will Cuylle,8482157,75,212,2002-02-05,Toronto,ON,CAN,2020.0,2.0,60.0,N,NYR,New York Rangers,L,L,79,20,17,37,CAN,Cuylle,20222023
Sacha Boisvert,8484793,74,176,2006-03-17,Trois-Rivières,QC,CAN,2024.0,1.0,18.0,N,CHI,Chicago Blackhawks,L,C,6,1,0,1,CAN,Boisvert,20252026
Rasmus Ristolainen,8477499,76,208,1994-10-27,Turku,,FIN,2013.0,1.0,8.0,N,PHI,Philadelphia Flyers,R,D,42,1,11,12,FIN,Ristolainen,20132014
Anders Lee,8475314,75,234,1990-07-03,Edina,MN,USA,2009.0,6.0,152.0,N,NYI,New York Islanders,L,L,79,19,23,42,USA,Lee,20122013
Tyson Gross,8486056,75,195,2002-09-23,Calgary,AB,CAN,,,,N,CGY,Calgary Flames,R,C,3,1,0,1,CAN,Gross,20252026
Danila Yurov,8483525,73,178,2003-12-22,Chelyabinsk,,RUS,2022.0,1.0,24.0,N,MIN,Minnesota Wild,L,R,70,10,15,25,RUS,Yurov,20252026
Keaton Middleton,8479387,78,240,1998-02-10,Edmonton,AB,CAN,2016.0,4.0,101.0,N,COL,Colorado Avalanche,L,D,3,0,1,1,CAN,Middleton,20202021
Esa Lindell,8476902,75,217,1994-05-23,Vantaa,,FIN,2012.0,3.0,74.0,N,DAL,Dallas Stars,L,D,79,5,25,30,FIN,Lindell,20152016
Dalibor Dvorsky,8484164,73,207,2005-06-15,Zvolen,,SVK,2023.0,1.0,10.0,N,STL,St. Louis Blues,L,R,67,11,8,19,SVK,Dvorsky,20242025
Jacob Quillan,8484901,73,204,2002-02-02,Dartmouth,NS,CAN,,,,N,TOR,Toronto Maple Leafs,L,C,20,0,1,1,CAN,Quillan,20242025
Matthew Wood,8484241,76,202,2005-02-06,Nanaimo,BC,CAN,2023.0,1.0,15.0,N,NSH,Nashville Predators,R,R,68,16,13,29,CAN,Wood,20242025
Vladislav Kolyachonok,8481609,74,198,2001-05-26,Minsk,,BLR,2019.0,2.0,52.0,N,DAL,Dallas Stars,L,D,13,1,2,3,BLR,Kolyachonok,20212022
Ryker Evans,8482858,72,195,2001-12-13,Calgary,AB,CAN,2021.0,2.0,35.0,N,SEA,Seattle Kraken,L,D,63,8,7,15,CAN,Evans,20232024
Logan O'Connor,8481186,72,175,1996-08-14,Missouri City,TX,USA,,,,N,COL,Colorado Avalanche,R,R,9,0,2,2,USA,O'Connor,20182019
Cole McWard,8484287,74,196,2001-06-09,Fenton,MO,USA,,,,N,NYI,New York Islanders,R,D,3,0,0,0,USA,McWard,20222023
Zach Hyman,8475786,73,206,1992-06-09,Toronto,ON,CAN,2010.0,5.0,123.0,N,EDM,Edmonton Oilers,R,L,57,31,20,51,CAN,Hyman,20152016
Brandon Saad,8476438,73,207,1992-10-27,Pittsburgh,PA,USA,2011.0,2.0,43.0,N,VGK,Vegas Golden Knights,L,L,48,3,6,9,USA,Saad,20112012
Joseph Veleno,8480813,73,201,2000-01-13,Montréal,QC,CAN,2018.0,1.0,30.0,N,MTL,Montréal Canadiens,L,C,59,2,2,4,CAN,Veleno,20202021
Marc McLaughlin,8483397,72,202,1999-07-26,North Billerica,MA,USA,,,,N,NJD,New Jersey Devils,R,C,4,0,0,0,USA,McLaughlin,20212022
Mason Geertsen,8477419,76,231,1995-04-19,Drayton Valley,AB,CAN,2013.0,4.0,93.0,N,BUF,Buffalo Sabres,L,L,5,0,0,0,CAN,Geertsen,20212022
Pierre-Olivier Joseph,8480058,74,185,1999-07-01,Laval,QC,CAN,2017.0,1.0,23.0,N,VAN,Vancouver Canucks,L,D,31,1,5,6,CAN,Joseph,20202021
Nathan MacKinnon,8477492,72,200,1995-09-01,Halifax,NS,CAN,2013.0,1.0,1.0,N,COL,Colorado Avalanche,R,C,77,52,74,126,CAN,MacKinnon,20132014
William Stromgren,8482766,75,175,2003-06-07,Ornskoldsvik,,SWE,2021.0,2.0,45.0,N,CGY,Calgary Flames,L,L,3,0,0,0,SWE,Stromgren,20252026
Nicolas Hague,8479980,78,245,1998-12-05,Kitchener,ON,CAN,2017.0,2.0,34.0,N,NSH,Nashville Predators,L,D,62,3,12,15,CAN,Hague,20192020
T.J. Tynan,8476391,68,160,1992-02-25,Orland Park,IL,USA,2011.0,3.0,66.0,N,COL,Colorado Avalanche,R,C,1,0,0,0,USA,Tynan,20162017
Casey Cizikas,8475231,71,191,1991-02-27,Toronto,ON,CAN,2009.0,4.0,92.0,N,NYI,New York Islanders,L,C,78,9,8,17,CAN,Cizikas,20112012
Ryan Pulock,8477506,73,219,1994-10-06,Dauphin,MB,CAN,2013.0,1.0,15.0,N,NYI,New York Islanders,R,D,74,3,23,26,CAN,Pulock,20152016
Ty Murchison,8482804,74,212,2003-02-02,Corona,CA,USA,2021.0,5.0,158.0,N,PHI,Philadelphia Flyers,L,D,3,0,0,0,USA,Murchison,20252026
Owen Power,8482671,78,226,2002-11-22,Mississauga,ON,CAN,2021.0,1.0,1.0,N,BUF,Buffalo Sabres,L,D,79,8,18,26,CAN,Power,20212022
Devon Toews,8478038,73,191,1994-02-21,Abbotsford,BC,CAN,2014.0,4.0,108.0,N,COL,Colorado Avalanche,L,D,65,2,21,23,CAN,Toews,20182019
Beck Malenstyn,8479359,75,209,1998-02-04,Delta,BC,CAN,2016.0,5.0,145.0,N,BUF,Buffalo Sabres,L,L,79,7,7,14,CAN,Malenstyn,20192020
Jesperi Kotkaniemi,8480829,75,212,2000-07-06,Pori,,FIN,2018.0,1.0,3.0,N,CAR,Carolina Hurricanes,L,C,39,2,7,9,FIN,Kotkaniemi,20182019
Philip Tomasino,8481577,72,187,2001-07-28,Mississauga,ON,CAN,2019.0,1.0,24.0,N,PHI,Philadelphia Flyers,R,R,9,0,1,1,CAN,Tomasino,20212022
Josh Manson,8476312,75,218,1991-10-07,Hinsdale,IL,USA,2011.0,6.0,160.0,N,COL,Colorado Avalanche,R,D,78,5,26,31,CAN,Manson,20142015
Shane Wright,8483524,72,192,2004-01-05,Burlington,ON,CAN,2022.0,1.0,4.0,N,SEA,Seattle Kraken,R,C,72,11,15,26,CAN,Wright,20222023
Spencer Stastney,8481056,72,184,2000-01-04,Woodridge,IL,USA,2018.0,5.0,131.0,N,EDM,Edmonton Oilers,L,D,66,2,8,10,USA,Stastney,20222023
Jayden Struble,8481593,72,207,2001-09-08,Cumberland,RI,USA,2019.0,2.0,46.0,N,MTL,Montréal Canadiens,L,D,56,2,10,12,USA,Struble,20232024
Evander Kane,8475169,74,218,1991-08-02,Vancouver,BC,CAN,2009.0,1.0,4.0,N,VAN,Vancouver Canucks,L,L,71,13,18,31,CAN,Kane,20092010
Zach Aston-Reese,8479944,73,203,1994-08-10,Staten Island,NY,USA,,,,N,CBJ,Columbus Blue Jackets,L,L,27,1,4,5,USA,Aston-Reese,20172018
Sam Steel,8479351,72,185,1998-02-03,Ardrossan,AB,CAN,2016.0,1.0,30.0,N,DAL,Dallas Stars,L,C,72,12,21,33,CAN,Steel,20182019
Brendan Gallagher,8475848,69,185,1992-05-06,Edmonton,AB,CAN,2010.0,5.0,147.0,N,MTL,Montréal Canadiens,R,R,76,6,16,22,CAN,Gallagher,20122013
Curtis Douglas,8480876,81,242,2000-03-06,Oakville,ON,CAN,2018.0,4.0,106.0,N,VAN,Vancouver Canucks,L,C,40,0,2,2,CAN,Douglas,20252026
Michael Misa,8485402,73,185,2007-02-16,Oakville,ON,CAN,2025.0,1.0,2.0,N,SJS,San Jose Sharks,L,C,41,7,10,17,CAN,Misa,20252026
Nic Dowd,8475343,74,195,1990-05-27,Huntsville,AL,USA,2009.0,7.0,198.0,N,VGK,Vegas Golden Knights,R,C,72,5,15,20,USA,Dowd,20152016
Samuel Honzek,8484180,76,186,2004-11-12,Trencin,,SVK,2023.0,1.0,16.0,N,CGY,Calgary Flames,L,L,18,2,2,4,SVK,Honzek,20242025
Danil Zhilkin,8483526,73,192,2003-12-19,Moscow,,RUS,2022.0,3.0,77.0,N,WPG,Winnipeg Jets,L,C,6,0,1,1,CAN,Zhilkin,20252026
Theo Lindstein,8484188,72,197,2005-01-05,Gavle,,SWE,2023.0,1.0,29.0,N,STL,St. Louis Blues,L,D,15,1,2,3,SWE,Lindstein,20252026
Boone Jenner,8476432,74,204,1993-06-15,Dorchester,ON,CAN,2011.0,2.0,37.0,N,CBJ,Columbus Blue Jackets,L,C,64,11,24,35,CAN,Jenner,20132014
Raphael Lavoie,8481534,76,217,2000-09-25,Chambly,QC,CAN,2019.0,2.0,38.0,N,VGK,Vegas Golden Knights,R,C,1,0,0,0,CAN,Lavoie,20232024
Justin Holl,8475718,76,194,1992-01-30,Tonka Bay,MN,USA,2010.0,2.0,54.0,N,STL,St. Louis Blues,R,D,8,1,1,2,USA,Holl,20172018
Josh Dunne,8482623,76,208,1998-12-08,O'Fallon,MO,USA,,,,N,BUF,Buffalo Sabres,L,C,33,1,3,4,USA,Dunne,20202021
